	locality	SVL	HL	HW	AGL	ED	TD	END	IND	UAL	FAL	HAL	TGL	TL	TAL	FL				
MNRJ13601	nordestinus	40.9	8.1	11.8	20.8	4.4	2.1	2.8	3.9	7.3	9.3	10.3	16.4	16.2	10.7	12.7				
MNRJ35223	nordestinus	36.4	9.7	11.1	17.9	4.5	1.7	2.8	3.8	8.0	8.1	9.3	15.3	15.3	9.5	12.0				
MNRJ35224	nordestinus	36.2	8.2	11.1	17.5	4.5	1.7	2.7	3.1	7.7	8.4	9.4	15.0	15.3	9.8	12.0				
MNRJ35225	nordestinus	37.3	7.6	10.9	19.1	4.2	1.3	2.6	3.7	8.5	8.2	9.5	15.3	15.7	9.8	11.6				
MNRJ35226	nordestinus	34.3	7.5	10.4	17.1	3.8	1.4	2.6	3.7	7.6	8.2	8.7	14.5	14.3	8.9	10.9				
MNRJ35227	nordestinus	36.1	7.4	10.6	17.4	3.5	1.7	2.4	3.5	7.0	8.3	8.5	13.7	13.8	8.8	11.0				
MNRJ35228	nordestinus	36.0	7.6	10.3	16.3	4.1	1.7	2.0	3.1	6.6	7.9	8.0	13.6	14.3	9.7	11.3				
19565	franciscus	32.5	6.8	10.2	16.2	4.0	1.3	2.0	2.8	6.7	8.4	8.0	13.5	13.5	8.8	10.2				
19566	franciscus	32.3	7.7	9.8	16.1	4.8	1.9	2.6	2.8	6.8	8.6	9.0	14.3	14.0	9.6	11.7				
19570	franciscus	33.7	7.0	10.2	15.4	4.4	1.6	2.2	2.7	6.8	8.0	8.9	14.5	14.1	9.9	12.0				
19571	franciscus	32.4	7.6	10.1	14.4	4.2	1.8	2.3	3.1	7.2	8.1	9.3	14.4	14.5	9.8	10.6				
19608	franciscus	31.1	7.0	9.2	14.9	3.8	1.8	2.3	2.4	6.3	7.2	7.6	13.3	12.8	8.1	9.7				
19610	franciscus	31.9	6.7	10.0	15.5	3.6	1.4	2.1	2.6	5.7	6.6	7.7	13.2	12.8	8.8	10.3				
19611	franciscus	32.4	6.6	9.5	15.7	3.6	1.9	2.1	2.8	6.6	7.4	7.7	14.0	13.8	9.0	11.7				
19612	franciscus	33.4	7.6	9.3	17.2	3.9	1.2	2.4	2.7	6.6	7.1	7.8	13.5	13.1	8.3	10.8				
19613	franciscus	30.8	6.5	9.0	15.9	4.1	1.9	2.2	2.3	6.0	6.5	8.0	13.6	12.8	9.4	9.5				
19614	franciscus	33.4	7.6	9.1	15.0	4.2	1.4	2.0	3.0	5.9	6.6	7.4	13.7	13.4	9.5	10.0				
19615	franciscus	32.0	7.6	9.9	13.3	4.2	1.8	2.5	2.7	6.0	7.5	8.2	13.8	13.4	8.8	10.5				
19616	franciscus	28.5	7.0	9.2	12.1	3.9	1.9	1.9	2.5	5.6	7.6	7.1	13.0	12.6	8.7	10.0				
19781	franciscus	33.0	7.5	10.3	16.9	4.2	1.8	2.4	3.0	7.3	7.8	9.4	13.7	14.0	9.5	12.0				
19773	franciscus	34.7	7.7	10.6	15.1	4.1	1.9	2.8	3.2	7.2	8.3	9.4	15.6	15.4	9.5	11.7				
19785	franciscus	33.3	8.0	10.1	14.3	3.9	1.9	2.3	2.9	7.0	8.0	9.5	15.0	14.9	9.5	11.2				
19786	franciscus	34.5	8.2	10.3	14.5	4.7	1.4	2.5	3.0	7.3	7.9	8.8	15.1	14.4	9.8	11.8				
19775	franciscus	33.3	7.3	10.3	15.2	3.9	1.3	2.6	3.0	6.2	7.5	9.0	14.1	14.0	9.2	11.7				
19777	franciscus	36.2	8.4	10.3	16.0	3.5	2.0	2.6	2.8	6.7	8.0	9.5	15.8	15.2	10.5	12.3				
19779	franciscus	31.6	7.5	9.5	14.2	3.9	1.4	2.3	3.1	6.3	7.8	8.7	13.4	13.6	9.2	11.2				
19782	franciscus	33.6	7.9	9.8	15.4	4.2	1.9	2.5	2.8	7.7	8.8	9.4	15.5	15.4	10.1	11.3				
19787	franciscus	32.1	6.9	9.8	14.3	4.3	1.8	2.4	3.2	6.5	7.8	8.8	14.8	15.1	10.3	11.7				
19743	franciscus	33.2	7.0	9.6	15.5	3.6	2.0	1.9	3.3	6.5	7.7	7.6	12.7	13.2	8.8	10.0				
19738	franciscus	29.8	6.9	9.8	12.0	3.6	1.5	2.2	3.2	6.9	6.8	7.9	13.6	13.3	8.8	10.6				
19739	franciscus	30.6	7.9	9.7	13.4	4.4	1.4	2.1	2.9	8.2	7.8	8.6	14.1	14.3	9.4	11.4				
19726	franciscus	29.7	7.4	9.5	12.3	3.8	1.5	2.0	2.9	7.0	6.3	8.2	13.3	13.1	9.5	10.5				
19727	franciscus	32.2	7.3	9.4	16.1	4.2	1.8	2.0	2.8	6.3	6.7	8.0	13.0	12.4	9.2	11.0				
19728	franciscus	33.9	7.6	10.1	17.5	4.1	1.8	2.5	3.0	6.7	7.6	7.2	14.0	14.0	9.1	10.3				
19740	franciscus	32.2	7.2	9.7	16.6	4.4	1.5	2.0	3.0	6.3	6.7	7.8	13.3	13.1	7.9	10.9				
19736	franciscus	34.4	8.3	11.0	15.7	4.7	1.9	2.3	2.9	6.7	6.8	8.5	14.7	14.2	10.1	9.8				
19732	franciscus	34.3	7.9	10.2	19.4	4.5	1.4	2.2	2.8	6.9	7.5	8.4	14.1	13.6	8.8	11.8				
19735	franciscus	35.5	7.0	10.7	18.5	4.6	1.6	2.6	2.9	7.6	6.8	8.4	13.5	13.8	8.7	10.1				
19737	franciscus	31.7	7.3	9.8	14.3	3.3	1.6	2.2	2.7	7.3	7.1	8.6	14.8	14.4	9.1	11.7				
18627	franciscus	32.9	8.2	10.4	15.4	4.4	1.7	2.5	2.8	6.6	7.7	8.7	14.4	13.5	8.7	10.9				
18637	franciscus	30.4	7.4	9.8	15.2	4.4	1.9	2.3	2.5	6.5	7.3	8.4	14.0	13.8	9.0	10.4				
18638	franciscus	30.7	7.3	9.4	14.3	3.8	1.6	2.3	3.1	6.7	7.3	7.1	13.6	13.3	9.0	10.4				
18628	franciscus	30.9	8.2	9.6	13.7	4.0	1.8	2.2	3.1	6.8	8.5	8.9	14.7	14.0	9.5	11.2				
18629	franciscus	37.3	7.6	10.0	19.0	4.3	2.3	2.4	3.4	6.7	7.9	9.4	14.8	15.1	10.4	11.7				
18630	franciscus	34.1	8.6	10.4	17.8	3.6	1.7	2.7	3.2	6.6	7.7	8.6	14.3	13.5	8.9	10.7				
18632	franciscus	31.2	7.6	9.7	13.6	3.7	1.6	2.4	3.4	5.3	7.4	8.9	14.1	13.0	8.6	10.9				
18633	franciscus	32.1	7.5	9.8	14.6	4.0	1.6	2.4	3.2	5.9	7.6	8.9	14.0	13.8	9.2	10.4				
18636	franciscus	29.9	7.5	9.8	12.4	4.2	1.8	2.8	3.3	6.5	8.3	8.4	14.3	14.3	9.3	12.3				
18631	franciscus	32.6	8.1	10.5	16.8	3.7	1.5	2.4	2.7	7.6	8.0	9.1	14.3	14.0	9.4	11.0				
19655	franciscus	32.3	8.2	9.7	16.5	4.2	2.2	2.0	3.0	7.3	7.2	8.4	13.3	13.4	9.5	11.6				
19660	franciscus	35.7	7.7	9.5	18.4	4.4	1.3	2.1	2.8	6.6	7.2	8.2	12.9	13.9	8.5	10.8				
19659	franciscus	35.0	7.6	9.8	19.5	4.2	2.2	2.4	2.7	7.9	7.7	8.7	14.9	14.1	9.5	11.7				
19657	franciscus	32.8	7.9	9.4	16.3	3.7	1.5	1.8	2.4	7.1	7.2	8.1	13.6	13.3	8.8	10.5				
19658	franciscus	31.1	7.0	9.2	15.1	4.0	1.7	1.9	2.8	8.1	7.5	7.2	14.7	14.2	9.1	11.0				
19656	franciscus	29.5	6.5	8.9	15.0	3.8	1.1	1.9	2.5	6.6	7.4	7.0	13.4	13.0	8.9	10.4				
19596	franciscus	35.8	7.6	10.3	18.1	4.5	2.1	2.7	3.6	6.6	7.9	8.2	14.9	14.9	9.1	11.8				
19597	franciscus	31.5	8.0	10.2	15.7	4.2	1.9	2.4	2.7	7.7	7.8	8.8	15.1	14.5	10.0	11.8				
19595	franciscus	29.9	7.8	10.0	13.0	4.1	1.7	2.3	2.9	7.8	7.9	8.4	14.4	14.8	9.5	10.5				
19600	franciscus	34.3	8.3	10.4	16.2	4.4	1.7	2.5	2.9	7.2	7.3	8.4	14.4	13.6	9.2	10.3				
19599	franciscus	33.0	7.6	9.7	16.1	3.7	1.5	2.3	2.7	7.3	7.0	8.2	14.0	13.5	9.0	10.2				
19601	franciscus	36.4	7.6	10.9	18.3	4.1	2.0	2.4	3.2	7.3	7.9	9.4	15.1	15.2	9.8	12.2				
19602	franciscus	35.7	7.7	10.1	17.6	3.8	2.3	2.5	2.8	7.5	8.3	9.1	15.1	14.5	10.1	10.4				
19607	franciscus	36.4	8.0	10.8	18.3	3.8	1.8	2.6	2.7	7.7	7.8	9.5	15.1	15.1	9.6	12.6				
19603	franciscus	36.3	8.2	10.2	17.8	4.5	1.8	2.4	2.7	6.7	7.6	8.7	13.8	13.7	9.5	11.6				
19604	franciscus	32.8	7.6	9.9	14.7	3.8	1.7	2.6	2.6	6.9	7.6	8.9	13.9	14.0	9.4	12.3				
19606	franciscus	37.4	7.3	10.3	19.5	3.9	1.8	2.4	2.9	6.9	7.5	8.9	13.7	13.7	9.9	10.7				
19587	franciscus	32.2	8.4	10.0	15.0	4.3	1.6	2.1	3.1	6.8	7.4	8.7	14.0	13.7	9.5	11.1				
19581	franciscus	33.9	7.3	9.9	16.0	3.7	2.1	2.6	3.3	6.3	7.6	7.3	14.4	14.3	9.5	10.3				
19584	franciscus	30.7	7.4	9.2	12.8	4.0	1.7	2.1	2.8	6.3	6.7	8.5	13.7	13.0	8.5	11.2				
19593	franciscus	31.1	7.5	10.1	13.4	4.0	1.6	1.9	2.9	6.4	7.2	8.2	14.9	14.7	9.3	11.6				
19594	franciscus	34.2	7.1	9.9	16.5	3.2	2.0	2.3	2.7	7.4	8.0	9.5	15.1	14.9	9.2	11.7				
19582	franciscus	32.3	7.1	10.8	15.8	3.3	1.7	2.3	3.3	8.1	8.7	9.4	14.8	14.3	10.2	12.3				
19591	franciscus	33.7	7.1	10.0	15.2	4.3	2.0	2.3	3.1	7.5	8.3	9.7	15.2	15.3	9.7	12.4				
19573	franciscus	30.3	7.1	9.2	17.5	3.0	1.8	2.2	2.5	5.7	7.0	8.7	12.5	13.1	8.9	11.2				
19575	franciscus	33.7	7.9	10.4	14.5	3.9	1.7	2.1	3.2	7.2	6.9	9.3	14.9	14.6	9.9	11.4				
19590	franciscus	33.1	7.1	9.9	15.9	4.2	2.0	2.2	2.9	7.7	7.0	8.6	14.2	14.1	9.6	11.5				
19632	franciscus	33.4	7.2	11.1	15.6	4.8	1.1	2.6	2.9	6.5	8.6	8.2	15.5	14.9	10.1	10.7				
19633	franciscus	31.6	7.1	10.2	15.4	4.2	1.3	2.3	3.0	7.0	7.8	7.6	15.1	14.7	9.0	11.4				
19617	franciscus	29.3	6.9	9.7	13.1	4.0	2.0	2.1	2.8	6.6	7.3	7.6	12.7	14.1	9.3	10.5				
19624	franciscus	31.6	7.5	10.2	13.5	4.4	1.9	2.5	2.7	6.3	7.6	8.7	13.9	14.4	9.2	11.4				
19622	franciscus	36.3	7.9	11.1	19.0	4.0	1.4	2.3	3.4	6.7	7.4	9.2	14.3	14.0	9.5	10.9				
19631	franciscus	32.7	7.5	10.3	16.1	4.0	1.6	2.0	2.9	6.7	7.7	8.7	13.0	13.9	9.8	11.0				
19623	franciscus	36.1	7.6	11.0	18.1	3.9	1.3	2.5	3.0	6.2	8.0	9.6	15.7	15.0	9.4	12.9				
19629	franciscus	33.1	7.0	10.5	14.5	4.4	1.5	2.0	3.4	5.9	6.6	8.0	13.4	13.1	8.1	11.5				
19625	franciscus	34.0	6.9	10.7	16.0	4.7	1.9	2.4	3.2	6.3	7.6	9.1	14.5	13.9	9.5	11.0				
19619	franciscus	33.5	6.8	9.9	15.2	3.7	1.6	2.3	3.1	6.9	7.4	8.3	14.2	13.3	9.1	10.8				
19628	franciscus	33.8	7.4	10.3	16.9	3.8	1.1	2.0	3.2	6.3	7.7	8.6	14.7	14.4	9.7	11.3				
19630	franciscus	37.1	7.3	10.7	18.2	3.9	1.7	2.2	3.0	6.5	8.6	9.3	15.3	14.7	9.5	12.4				
19642	franciscus	31.3	7.0	10.6	12.7	4.1	1.6	2.2	3.2	6.9	7.4	8.8	14.1	14.3	9.0	11.5				
19644	franciscus	33.1	7.5	10.9	12.1	4.4	1.4	2.2	3.4	6.9	8.2	9.6	14.8	14.3	9.3	11.3				
19646	franciscus	34.2	7.4	10.7	17.1	4.2	1.7	1.9	3.4	6.1	7.5	8.7	13.5	14.3	9.4	11.3				
19650	franciscus	34.8	6.8	10.8	16.1	4.3	1.8	2.4	3.2	5.6	6.6	8.0	13.1	13.4	9.4	10.5				
19649	franciscus	30.4	6.6	9.8	11.8	4.2	1.2	2.2	3.2	6.4	7.8	8.6	13.2	13.8	9.7	11.3				
19641	franciscus	34.2	7.4	10.6	16.3	4.3	1.7	2.2	3.4	6.7	7.1	8.0	13.9	13.1	9.0	10.7				
19654	franciscus	34.7	7.3	10.9	15.9	4.0	1.5	2.2	3.2	6.9	7.5	9.1	14.3	14.3	9.5	11.4				
19643	franciscus	34.1	6.6	10.1	17.1	4.0	1.9	2.2	3.2	6.8	7.2	8.5	15.0	14.5	9.4	11.0				
19710	franciscus	32.4	7.8	10.5	15.4	4.9	1.3	2.2	3.5	6.8	7.0	8.9	14.3	13.8	9.0	11.7				
19689	franciscus	33.6	7.0	10.4	15.7	4.2	1.9	2.4	3.4	6.6	8.4	9.0	14.6	14.5	9.3	11.6				
19708	franciscus	29.9	6.6	10.2	13.1	4.5	1.7	1.9	3.1	6.4	6.6	9.0	14.0	13.6	9.3	10.8				
19690	franciscus	32.8	6.7	10.6	15.5	4.1	1.5	2.5	3.4	7.3	7.2	8.7	13.2	13.7	9.4	10.5				
19705	franciscus	37.8	8.0	11.2	18.4	4.4	1.2	2.4	3.6	7.2	7.4	9.0	14.6	14.6	9.6	11.2				
19707	franciscus	35.8	7.1	10.2	17.6	4.1	1.7	2.5	3.4	7.1	7.9	9.6	14.7	14.7	9.3	12.4				
19699	franciscus	33.0	7.0	10.8	15.1	4.0	1.3	2.4	3.5	7.1	7.9	8.7	15.1	14.9	9.4	11.1				
19711	franciscus	34.1	7.3	11.0	17.0	4.4	2.1	2.3	3.3	6.7	7.5	8.7	14.1	15.1	10.0	11.3				
19697	franciscus	32.0	7.2	10.3	15.2	4.2	1.5	2.1	3.4	6.4	7.2	8.6	13.5	13.3	8.8	11.0				
19692	franciscus	37.2	7.3	10.8	19.3	4.3	2.1	2.5	3.2	7.8	7.5	9.1	14.8	15.1	10.0	12.2				
19706	franciscus	35.0	7.9	10.8	16.0	4.5	1.7	2.4	3.4	5.9	7.6	8.6	13.0	14.6	8.7	11.1				
19724	franciscus	32.2	7.0	10.4	16.7	4.1	1.6	2.3	3.2	6.0	7.4	7.7	13.0	12.5	8.4	9.8				
19717	franciscus	32.7	6.7	10.7	14.5	3.8	1.4	2.1	3.3	6.5	7.1	8.7	14.6	14.4	9.5	11.9				
19719	franciscus	33.9	6.9	10.2	16.6	4.2	1.2	2.2	3.4	7.0	7.2	8.5	14.3	13.5	8.6	10.4				
19714	franciscus	33.4	6.9	10.2	16.0	4.2	1.7	2.2	3.4	6.6	7.3	8.3	13.8	13.9	8.3	10.9				
19722	franciscus	33.7	6.9	10.1	17.7	4.4	1.9	2.1	2.9	6.7	7.5	9.1	14.3	14.4	8.9	11.3				
19718	franciscus	31.9	6.4	9.9	15.9	3.7	1.6	2.1	3.2	6.4	7.2	8.2	13.8	13.9	9.2	10.8				
19734	franciscus	34.4	6.6	10.9	17.6	4.1	2.0	2.5	3.0	6.3	6.9	8.4	14.2	14.1	10.0	11.1				
19729	franciscus	33.8	7.5	10.5	17.4	4.0	1.3	2.6	2.8	6.8	7.0	7.8	13.0	13.5	9.2	10.2				
19716	franciscus	37.3	6.7	10.8	18.7	4.2	1.4	2.1	3.1	7.1	7.9	8.5	14.6	14.1	8.9	11.1				
19720	franciscus	33.4	6.3	10.5	15.2	4.6	1.9	2.0	3.2	5.9	7.8	9.3	13.1	13.5	8.4	11.4				
19715	franciscus	33.6	7.1	10.1	17.0	3.4	1.7	2.4	3.1	5.8	6.3	7.8	12.0	12.8	8.0	10.3				
19834	franciscus	35.6	6.5	10.1	17.8	3.6	1.7	2.3	2.8	5.8	7.1	8.7	13.4	14.3	9.4	11.8				
19846	franciscus	35.0	7.4	10.3	16.7	4.6	1.8	2.5	3.3	6.1	8.3	9.0	14.3	14.1	8.9	11.6				
19811	franciscus	36.4	7.3	10.3	18.0	4.0	1.5	2.4	2.6	6.1	7.7	9.0	14.3	14.1	9.4	11.6				
19853	franciscus	34.9	6.8	10.7	17.1	4.3	1.5	2.3	2.7	7.1	7.7	9.0	15.1	14.8	10.1	11.7				
19851	franciscus	33.7	6.8	10.3	15.1	3.9	1.7	2.2	2.9	6.6	7.5	7.9	14.7	14.7	9.1	11.4				
19805	franciscus	32.7	6.4	10.4	15.3	3.7	1.7	2.3	3.0	6.2	7.8	8.7	13.9	14.2	8.8	11.3				
19748	franciscus	34.6	6.7	10.7	17.6	3.8	1.9	2.2	3.5	8.0	7.8	8.2	14.4	14.6	9.8	11.3				
19747	franciscus	34.6	7.3	10.5	17.0	3.7	1.3	2.1	2.7	6.3	7.6	8.1	12.7	13.4	8.1	10.2				
19754	franciscus	35.0	8.4	10.2	18.6	4.2	1.8	2.7	3.0	8.1	8.3	9.2	15.2	16.0	10.2	12.3				
19751	franciscus	37.3	8.0	11.1	18.9	3.8	1.8	2.7	2.9	8.2	8.5	9.5	15.5	15.7	10.0	12.2				
19755	franciscus	32.3	6.5	9.7	16.3	3.3	1.5	2.1	2.9	6.4	7.6	8.4	13.9	13.7	8.5	10.7				
19791	franciscus	34.4	7.3	10.9	19.1	3.6	1.4	2.4	2.8	5.5	6.3	7.7	13.4	12.5	8.3	10.3				
19848	franciscus	33.3	7.1	9.9	16.8	3.9	1.6	2.1	2.8	6.0	7.6	8.1	13.6	13.4	8.3	10.4				
19793	franciscus	35.4	7.7	11.0	18.6	4.0	1.7	2.4	3.1	6.8	7.4	8.3	12.9	13.1	9.5	10.5				
19842	franciscus	33.2	7.0	10.5	16.8	3.7	1.7	2.2	2.8	6.4	7.7	7.5	13.6	13.1	9.4	9.6				
19854	franciscus	35.9	7.0	10.8	18.0	4.3	1.7	2.2	3.4	6.0	7.4	8.2	14.2	13.6	8.6	10.8				
19841	franciscus	33.6	7.5	10.4	17.2	3.8	1.6	2.3	2.9	6.7	8.3	8.8	15.9	15.7	10.1	11.8				
19788	franciscus	30.4	6.7	9.7	14.4	4.0	1.9	2.3	2.9	5.7	6.6	8.3	12.9	13.5	9.5	10.5				
19818	franciscus	30.7	6.5	10.5	12.1	3.7	1.7	2.1	3.2	7.0	8.1	9.0	14.1	14.8	9.8	11.3				
19829	franciscus	33.8	7.4	10.4	15.2	3.6	1.9	2.6	3.0	6.3	6.9	8.2	13.9	13.5	9.1	11.1				
19828	franciscus	31.8	7.3	10.3	13.0	4.1	2.1	2.4	2.8	6.3	7.8	8.4	14.3	14.9	9.9	11.6				
19817	franciscus	34.0	7.8	10.6	16.2	3.6	1.8	2.6	3.7	6.7	8.1	9.1	15.1	15.5	9.8	11.3				
19863	franciscus	33.0	6.8	10.2	16.3	3.5	1.7	2.5	3.1	6.2	7.2	8.7	15.0	14.6	9.8	11.8				
19825	franciscus	31.9	6.7	9.7	14.6	4.0	1.8	2.6	2.9	5.8	6.6	8.5	13.6	13.5	8.8	10.7				
19664	franciscus	32.2	8.6	9.5	17.2	4.2	1.2	1.9	3.0	6.0	6.3	7.7	12.1	11.9	9.0	9.6				
19665	franciscus	33.0	7.1	10.2	16.2	4.0	1.6	2.6	3.2	6.1	7.4	8.5	12.7	13.4	9.1	10.8				
19666	franciscus	34.1	7.9	10.0	17.2	4.1	1.4	2.1	3.4	5.8	7.2	9.0	13.8	13.6	8.8	12.2				
19667	franciscus	31.6	8.1	9.5	13.7	4.3	1.5	2.0	3.2	6.8	8.0	7.8	13.9	13.8	9.2	10.6				
19668	franciscus	30.5	7.7	9.4	13.7	4.2	1.8	2.3	3.1	6.1	7.3	8.1	13.7	13.1	8.8	10.9				
19670	franciscus	29.5	6.2	9.1	14.1	3.8	1.4	2.1	2.6	6.4	6.6	7.9	13.4	13.1	8.9	11.1				
19671	franciscus	33.7	8.1	9.6	16.1	3.8	1.5	2.1	3.0	6.2	6.6	8.6	14.3	14.2	9.9	10.7				
19672	franciscus	33.5	8.8	10.0	18.0	3.9	1.7	2.0	3.4	6.9	6.8	9.4	12.7	14.2	9.2	11.4				
19673	franciscus	33.5	6.8	10.2	16.7	3.8	1.5	2.4	3.3	6.5	7.6	8.4	13.6	13.9	9.3	11.1				
19674	franciscus	31.9	6.4	10.2	13.8	4.0	1.8	2.5	3.5	6.9	7.1	8.8	14.2	13.7	8.7	11.1				
19675	franciscus	34.1	7.9	10.0	18.5	4.3	1.4	2.3	3.5	6.5	6.9	7.7	12.1	12.4	8.1	10.5				
19676	franciscus	34.4	7.5	9.7	17.8	4.4	1.7	2.2	2.8	6.3	7.2	8.0	13.6	14.1	9.1	11.2				
19677	franciscus	32.6	8.9	9.9	18.3	4.1	1.2	1.8	3.1	6.4	7.0	8.9	13.7	12.9	8.6	10.7				
19678	franciscus	32.5	7.5	10.0	17.7	3.9	1.2	2.0	2.9	6.0	7.5	8.7	13.8	13.0	8.8	10.7				
19679	franciscus	31.9	7.9	9.6	12.6	3.9	1.5	2.0	3.2	5.5	6.4	7.8	13.4	13.4	8.1	10.5				
19680	franciscus	33.3	6.9	10.4	15.6	4.2	1.6	2.0	2.7	5.8	6.9	8.1	13.0	12.7	8.5	10.1				
19681	franciscus	35.0	7.7	10.1	16.3	4.6	1.3	2.1	3.5	6.1	7.4	9.9	14.2	14.7	9.6	12.6				
19682	franciscus	34.1	8.4	10.1	15.9	3.6	1.3	2.3	2.9	6.4	8.0	9.1	14.5	14.8	9.8	11.6				
19683	franciscus	34.9	8.7	10.3	17.6	4.5	1.7	2.1	3.4	6.3	7.3	9.4	14.6	14.2	9.9	11.6				
19684	franciscus	32.0	6.9	9.3	17.2	4.1	1.2	2.0	2.7	5.6	6.9	7.9	12.6	12.4	8.2	10.0				
19686	franciscus	34.7	6.9	9.7	18.8	4.3	1.8	2.2	3.4	6.2	7.6	8.5	13.9	14.0	9.0	10.4				
19987	franciscus	35.3	7.8	10.2	17.3	4.1	1.2	2.1	3.3	5.4	7.9	9.1	12.7	13.9	9.1	11.7				
19988	franciscus	33.6	7.8	10.1	15.4	4.5	1.8	2.2	3.1	6.3	7.4	8.6	14.1	14.1	9.8	11.3				
19685	franciscus	32.7	6.9	9.8	15.6	3.7	1.2	2.2	3.2	5.6	7.1	8.1	12.7	12.9	8.3	10.9				
