	locality	SVL	HL	HW	AGL	ED	TD	END	IND	UAL	FAL	HAL	TGL	TL	TAL	FL				
3492	hypo	35.8	7.4	11.2	19.4	4.1	1.8	2.7	3.1	8.1	8.3	9.4	15.2	14.9	10.5	12.5				
3493	hypo	36.2	8.1	11.2	17.2	4.3	1.9	2.7	3.4	7.4	8.6	9.6	15.9	15.8	10.4	13.3				
3494	hypo	37.7	7.9	11.7	18.8	4.3	1.9	2.8	3.4	7.9	8.2	9.8	15.4	15.7	10.3	12.2				
21650	hypo	36.6	7.8	11.7	18.3	4.2	1.9	2.2	3.3	6.9	7.8	9.2	15.7	15.2	10.6	11.9				
1078	hypo	36.3	8.0	10.9	14.9	4.0	2.0	2.3	3.8	7.3	7.9	9.3	15.1	15.3	10.7	12.7				
1079	hypo	34.6	8.4	10.8	14.5	4.0	1.5	2.2	3.2	7.2	6.9	9.4	14.9	15.9	11.2	12.4				
1080	hypo	36.5	8.8	11.0	15.8	4.6	1.6	2.5	3.8	7.9	9.0	9.7	15.9	16.5	11.2	12.4				
1081	hypo	35.0	9.2	11.0	15.0	4.5	1.5	2.2	3.5	7.5	7.6	9.4	15.2	15.6	10.7	12.4				
1082	hypo	35.1	7.3	10.7	15.0	4.3	2.0	2.2	3.4	7.5	8.4	9.8	15.7	15.8	11.0	12.2				
1083	hypo	36.8	8.1	11.4	17.2	3.8	1.6	2.3	3.6	8.3	8.8	9.6	16.3	16.3	11.0	11.9				
1084	hypo	37.4	8.7	11.0	16.7	4.5	1.9	2.3	3.6	7.9	9.0	9.6	16.1	16.3	11.3	13.3				
1963	hypo	33.7	5.9	10.2	16.3	3.9	1.7	2.4	2.9	6.6	7.8	10.0	13.2	13.8	9.8	12.1				
1964	hypo	36.8	7.0	11.7	16.0	4.7	1.2	2.2	3.8	8.1	8.0	10.3	14.9	15.8	11.0	12.2				
991	hypo	33.5	6.2	10.1	14.3	4.2	1.5	2.2	3.0	7.5	7.6	9.4	14.5	14.7	9.5	12.2				
992	hypo	35.1	7.3	10.4	16.6	4.3	1.6	2.1	2.8	7.4	7.8	9.2	14.8	15.0	10.0	12.4				
993	hypo	34.9	7.2	10.8	16.2	5.0	1.9	2.4	3.2	7.2	8.8	9.3	14.9	15.5	10.1	12.5				
996	hypo	34.1	6.4	10.6	14.5	4.2	1.8	2.5	2.9	7.2	7.7	8.8	15.6	15.0	10.5	12.0				
997	hypo	34.8	6.8	10.4	15.9	4.1	1.7	2.2	2.9	7.0	7.7	9.2	14.8	14.3	9.6	12.6				
998	hypo	35.0	6.4	10.4	16.8	4.5	1.7	2.2	3.4	7.0	8.4	9.5	15.5	15.7	10.6	13.0				
999	hypo	33.3	6.2	10.8	15.2	4.5	2.0	2.1	3.2	7.6	8.2	9.1	15.2	14.8	10.2	12.7				
331	hypo	34.9	7.2	10.9	14.1	4.5	1.9	2.3	3.6	7.2	8.2	8.7	14.7	14.6	10.7	11.8				
334	hypo	33.4	7.3	10.8	14.6	4.3	1.5	2.3	3.5	7.2	7.8	8.6	13.9	14.3	10.8	12.0				
117	hypo	32.5	7.4	10.2	14.3	4.4	1.5	2.1	3.0	6.7	7.6	8.4	14.5	14.0	9.9	11.7				
118	hypo	34.0	7.8	11.3	15.4	4.5	1.9	2.3	3.2	7.7	8.1	9.2	14.7	14.4	10.6	12.2				
1333	hypo	35.5	8.0	11.1	16.3	4.7	1.9	2.3	3.4	6.7	8.4	9.2	14.6	14.5	10.8	12.0				
3410	hypo	36.6	8.8	10.7	18.2	4.2	1.8	2.4	3.3	7.0	7.9	9.1	14.1	14.3	10.2	12.2				
2827	hypo	38.4	9.2	11.7	20.1	4.1	2.2	2.4	3.8	7.3	9.1	9.7	15.6	15.8	11.4	12.8				
2828	hypo	35.7	8.5	10.7	17.0	4.0	1.8	2.4	3.6	6.7	8.4	9.7	14.5	15.1	11.5	11.9				
2829	hypo	39.5	9.4	12.1	17.7	4.6	2.3	2.8	3.9	7.7	8.1	10.1	15.2	15.7	11.0	12.6				
2830	hypo	38.2	9.9	12.3	19.5	4.5	2.1	2.9	3.5	7.6	8.8	9.9	14.3	15.6	10.8	12.4				
2779	hypo	34.7	8.5	10.5	16.1	4.1	2.0	2.4	2.9	7.6	7.6	9.4	14.2	14.1	9.8	11.5				
2817	hypo	36.5	8.6	11.1	18.6	4.7	1.9	2.5	3.7	7.2	8.8	9.8	15.2	15.4	10.8	12.3				
2311	hypo	35.5	7.8	10.7	16.1	4.8	1.7	2.5	3.1	7.9	8.5	9.2	13.9	14.7	10.7	12.6				
2313	hypo	34.4	7.7	10.8	15.6	4.5	1.9	2.4	3.4	7.5	7.9	9.1	14.9	14.6	9.8	11.4				
2315	hypo	35.7	7.9	11.1	17.4	4.8	1.8	2.6	3.1	6.9	8.2	9.3	14.6	15.2	10.5	11.9				
2299	hypo	36.9	7.9	11.6	16.2	5.1	2.1	2.6	3.5	7.1	8.1	9.9	15.1	14.9	10.2	12.6				
3256	hypo	33.7	7.6	11.2	17.1	4.4	1.4	2.4	3.4	7.8	7.2	8.5	13.7	13.6	10.4	11.4				
1276	hypo	36.1	8.7	11.8	15.6	4.6	1.8	2.6	3.0	7.2	8.5	8.8	14.9	15.1	10.8	11.9				
4936	hypo	36.2	8.3	11.8	14.9	4.6	1.2	2.5	3.4	7.3	8.2	9.4	15.8	15.5	11.4	12.9				
4937	hypo	35.9	8.9	11.7	15.1	4.7	1.1	2.0	3.5	7.4	7.8	9.3	15.0	15.0	9.6	12.0				
4832	hypo	36.1	8.4	11.7	16.3	4.6	1.7	2.4	3.5	7.1	8.8	10.2	15.5	15.3	10.6	12.5				
4834	hypo	34.2	7.4	11.5	13.8	4.4	1.6	2.1	3.4	7.0	8.2	9.3	14.3	14.3	9.8	12.2				
4573	hypo	35.6	7.8	10.6	16.2	4.4	1.4	2.4	3.3	6.8	8.0	8.8	14.2	14.5	11.1	12.2				
4689	hypo	34.3	7.2	10.7	14.9	4.5	1.4	2.3	3.3	7.0	7.0	8.8	15.0	14.8	10.7	11.5				
3116	hypo	33.9	7.0	10.2	15.0	4.3	1.5	1.9	3.3	7.3	6.7	8.6	14.7	14.3	10.3	11.8				
3101	hypo	32.2	7.8	9.8	15.5	4.3	1.7	2.0	2.9	7.2	7.2	8.6	13.7	13.9	9.4	11.4				
455	hypo	33.7	7.6	10.6	13.5	4.6	1.5	2.3	3.1	7.0	7.9	8.9	13.9	14.2	10.8	11.6				
3442	araguaius	32.8	6.4	9.5	15.7	4.2	1.7	2.2	3.2	7.8	7.8	8.3	13.7	13.5	9.3	10.5				
3443	araguaius	31.0	6.6	9.5	14.0	3.9	1.3	2.0	2.7	6.9	7.8	7.3	13.3	13.0	8.8	9.8				
3444	araguaius	30.6	6.7	9.6	14.6	3.9	1.6	2.1	2.8	6.1	6.8	7.2	12.9	12.6	8.4	10.1				
3445	araguaius	33.0	6.5	9.9	16.4	4.0	1.8	2.0	2.9	7.5	8.0	8.2	13.6	13.3	8.7	10.5				
3446	araguaius	32.2	6.4	10.0	15.1	4.1	1.5	2.3	3.2	6.9	7.2	7.9	13.9	13.6	9.4	10.2				
3447	araguaius	30.4	6.6	9.6	13.0	4.1	1.7	1.8	2.8	6.5	7.5	8.1	13.1	13.3	9.2	10.9				
3448	araguaius	30.4	6.9	9.2	13.9	3.7	1.3	1.9	3.0	6.5	7.0	7.4	12.7	12.3	8.2	9.6				
3449	araguaius	33.8	6.7	10.1	16.9	3.9	1.7	2.1	3.1	7.2	7.7	8.6	13.4	14.1	10.3	10.7				
4877	araguaius	31.4	7.5	9.7	14.2	3.8	1.5	1.9	2.5	6.4	6.8	7.4	13.6	13.9	9.2	10.4				
4878	araguaius	33.6	7.1	10.1	16.0	4.1	1.7	1.8	2.8	7.2	7.6	8.2	14.1	13.8	9.3	11.1				
4879	araguaius	30.3	6.1	9.4	15.1	3.8	1.6	1.7	2.7	6.8	7.7	8.2	12.3	13.3	8.7	10.2				
4880	araguaius	31.9	6.4	9.5	13.3	3.9	1.7	1.8	2.6	7.0	7.0	8.2	14.2	13.6	9.5	10.9				
4881	araguaius	31.8	8.0	9.6	13.5	4.0	1.8	2.0	2.8	6.8	7.7	7.8	13.0	13.7	9.0	10.1				
4882	araguaius	33.0	7.4	9.6	13.6	4.2	1.7	1.8	2.8	7.5	7.7	7.9	14.4	14.1	9.3	10.0				
21657	araguaius	30.8	6.9	9.5	14.6	4.4	1.8	2.0	2.8	6.8	6.5	7.5	12.5	12.7	8.1	10.1				
21658	araguaius	31.3	6.6	9.3	14.4	3.9	1.5	2.0	2.8	6.7	7.2	8.0	13.5	13.1	8.4	10.5				
21659	araguaius	32.7	7.4	9.5	14.1	4.0	1.8	2.2	3.0	7.4	7.2	7.5	13.0	14.1	9.4	10.3				
21660	araguaius	30.5	6.2	9.2	11.4	3.9	1.4	1.8	2.8	7.0	7.0	7.2	13.4	13.7	9.6	10.1				
15884	araguaius	33.0	7.7	9.6	16.9	3.9	1.6	2.0	3.1	7.9	7.8	8.3	14.3	13.5	9.1	10.5				
15885	araguaius	32.3	6.8	9.5	15.7	4.4	1.3	1.9	2.8	6.7	7.4	8.2	13.3	12.5	8.6	10.2				
15886	araguaius	33.1	7.1	9.7	15.9	4.1	1.8	1.9	3.0	6.6	7.8	9.0	14.5	14.0	9.7	12.0				
15888	araguaius	32.8	7.6	9.8	15.4	4.3	1.8	2.0	3.0	6.7	7.4	8.5	14.7	14.4	9.5	11.4				
15887	araguaius	32.9	7.4	9.9	15.0	4.4	1.8	1.9	2.9	7.5	7.3	8.4	14.4	14.2	9.8	10.9				
21644	araguaius	33.6	7.8	9.7	14.9	4.1	1.6	2.1	3.0	7.2	7.5	8.1	13.5	13.6	8.7	10.7				
21645	araguaius	30.2	6.7	9.1	13.6	3.7	1.6	2.2	3.0	6.4	7.7	7.5	12.8	13.1	9.1	9.8				
21647	araguaius	31.3	7.0	9.2	13.5	3.6	1.8	2.1	3.2	7.1	7.7	7.6	14.4	13.5	9.5	9.9				
14321	araguaius	32.9	7.6	10.1	17.5	4.2	1.7	2.0	3.6	8.8	8.0	8.4	14.2	14.4	9.9	11.0				
14322	araguaius	33.7	7.5	10.2	16.6	4.1	1.5	1.9	3.3	8.6	7.5	8.1	14.5	14.5	9.6	11.0				
14367	araguaius	29.8	6.6	9.2	14.5	4.0	1.3	1.8	3.3	6.8	7.3	7.4	12.8	12.8	8.5	10.0				
14368	araguaius	30.7	7.0	9.0	14.6	4.1	1.6	1.9	2.7	6.9	7.8	7.7	12.8	13.5	9.4	10.6				
14369	araguaius	28.3	6.7	8.6	14.1	3.5	1.2	1.8	2.1	6.1	6.8	6.8	12.4	11.5	8.7	9.3				
14370	araguaius	29.6	6.9	9.3	14.6	3.8	1.4	2.0	2.9	7.2	7.4	7.2	12.9	13.1	8.8	10.5				
14406	araguaius	33.2	8.0	9.5	16.5	3.8	2.0	2.2	3.2	7.8	7.9	8.8	15.1	15.9	9.6	10.6				
13503	araguaius	33.9	7.3	10.3	16.2	4.0	1.8	2.2	3.6	6.4	7.8	8.9	14.5	14.2	10.0	11.6				
7457	araguaius	31.5	6.4	9.8	14.9	3.6	1.5	1.9	3.4	6.4	7.1	8.6	14.2	14.9	10.1	11.4				
7458	araguaius	32.5	7.4	10.2	15.8	3.6	1.8	2.2	3.5	7.6	7.8	8.8	14.6	15.0	9.8	11.4				
148	azureus	34.3	6.5	10.3	17.1	3.8	1.5	2.2	2.8	7.3	8.0	8.3	14.8	14.2	9.7	11.6				
149	azureus	35.2	6.5	10.3	18.4	3.8	1.5	2.3	2.7	7.8	7.8	9.2	15.0	14.2	8.9	12.1				
150	azureus	34.1	6.2	10.2	16.3	3.6	1.5	1.9	3.0	7.2	7.7	9.4	15.2	15.1	9.2	11.8				
151	azureus	37.7	6.8	11.1	19.8	3.9	1.5	2.5	3.0	8.5	8.9	8.6	16.2	16.5	10.6	12.7				
152	azureus	34.4	6.5	10.3	16.7	3.8	1.5	2.5	2.8	6.8	7.1	8.4	14.7	14.0	9.1	11.6				
153	azureus	34.8	6.7	10.2	17.0	3.6	1.6	2.1	2.8	7.5	7.2	9.1	14.6	14.9	9.5	11.8				
MNRJ61567	azureus	36.6	7.1	11.0	17.7	4.0	1.6	2.9	3.8	6.6	9.8	10.6	15.6	15.3	10.8	13.1				
MNRJ61568	azureus	33.7	6.9	9.8	14.6	4.4	1.5	2.0	3.6	7.3	8.3	8.7	13.6	13.9	9.2	10.8				
MNRJ61569	azureus	33.3	6.0	9.8	15.4	4.2	1.2	2.3	3.5	7.1	8.2	9.6	14.6	14.1	9.4	11.3				
MNRJ61570	azureus	34.4	7.2	10.7	16.5	3.7	1.9	2.4	3.8	7.4	8.0	9.4	15.0	14.0	9.9	12.2				
MNRJ61571	azureus	37.2	8.5	10.4	18.5	4.2	1.7	2.8	3.8	7.5	9.3	9.8	15.2	14.7	10.2	12.9				
MNRJ39995	azureus	39.7	7.8	10.8	18.9	4.6	1.6	2.4	3.8	6.8	8.6	10.0	14.3	15.3	9.9	12.6				
MNRJ13657	azureus	33.1	7.9	9.8	14.4	3.7	1.7	2.1	3.6	7.1	6.5	8.8	12.8	12.8	8.9	11.4				
MNRJ13658	azureus	35.0	8.3	10.8	15.7	3.8	1.8	2.1	4.0	7.3	7.6	8.6	15.2	14.5	9.5	11.2				
MNRJ13659	azureus	37.4	8.0	11.2	16.1	4.1	1.7	2.5	3.8	6.4	6.8	9.1	14.3	14.0	9.7	11.6				
MNRJ13660	azureus	37.7	9.8	11.3	15.2	4.2	2.0	2.4	4.3	6.1	7.4	8.9	15.2	14.8	9.0	12.0				
MNRJ13661	azureus	38.2	7.8	11.4	19.3	3.9	2.3	2.3	3.8	8.0	8.7	10.1	15.5	15.9	10.4	13.0				
MNRJ13662	azureus	37.6	7.8	10.6	19.3	4.2	1.6	2.6	3.6	6.4	7.5	8.8	14.2	14.6	9.7	11.8				
MNRJ13664	azureus	34.7	7.7	10.3	15.2	3.8	1.7	2.1	3.8	7.2	8.7	9.2	14.6	14.3	8.9	11.1				
MNRJ13665	azureus	35.3	8.1	10.4	16.0	4.4	1.9	2.2	4.0	7.4	8.1	8.7	14.2	14.4	8.9	10.8				
MNRJ13666	azureus	35.5	8.4	10.4	17.1	3.5	1.6	2.4	3.3	7.0	7.6	7.8	14.0	14.0	9.6	10.9				
MNRJ13667	azureus	38.3	8.8	11.2	17.3	4.4	2.3	2.3	3.9	6.6	7.1	10.1	13.7	14.6	9.4	12.0				
MNRJ13668	azureus	38.9	8.0	11.3	16.6	4.3	1.7	2.5	4.3	6.8	7.2	10.0	14.8	14.6	9.3	11.5				
MNRJ13669	azureus	36.7	8.2	10.7	18.3	4.5	1.5	1.9	3.8	7.1	8.2	9.5	15.6	14.4	8.3	11.7				
MNRJ13670	azureus	33.7	7.8	10.7	14.1	4.1	1.7	2.8	3.3	7.0	7.4	8.2	13.7	13.5	8.8	10.3				
18623	nordestinus	34.3	6.6	10.6	14.5	4.1	1.6	2.7	3.3	7.0	7.9	9.0	16.6	15.5	9.9	11.4				
18624	nordestinus	33.7	7.0	9.9	14.9	3.9	1.2	2.7	3.3	6.5	8.9	8.9	14.7	15.0	9.1	11.3				
18625	nordestinus	32.9	7.0	10.9	15.3	4.2	1.8	2.3	3.2	7.0	7.8	8.6	15.9	14.6	9.4	10.5				
18626	nordestinus	34.6	6.6	10.6	17.2	4.0	1.5	2.2	3.1	7.3	7.2	8.9	14.7	13.5	9.8	11.2				
19898	nordestinus	37.0	6.9	11.4	16.4	4.4	1.7	2.6	3.5	6.9	9.2	9.2	15.3	14.6	9.5	11.9				
19902	nordestinus	36.6	6.7	10.8	17.6	3.6	1.9	2.9	3.2	6.9	8.5	10.3	15.6	15.4	10.1	12.8				
19891	nordestinus	36.4	7.4	11.3	17.5	4.4	1.3	2.6	3.3	7.6	9.1	9.9	15.2	14.7	9.3	12.8				
19901	nordestinus	33.0	7.2	10.5	14.5	4.7	1.7	2.4	3.3	7.3	9.3	9.6	15.3	15.0	9.5	11.9				
19906	nordestinus	34.0	6.4	10.2	15.0	4.1	1.7	2.4	3.1	7.4	8.2	8.7	13.9	14.3	9.4	11.0				
19909	nordestinus	36.7	6.9	11.5	16.9	4.5	1.7	2.8	3.5	8.1	8.5	11.0	16.5	16.0	10.4	13.1				
19893	nordestinus	35.3	6.3	11.0	16.7	4.2	1.7	2.5	3.0	7.0	8.1	8.7	15.3	14.7	9.7	11.6				
19899	nordestinus	37.5	7.2	10.8	19.3	4.0	1.8	2.9	3.3	6.7	7.9	9.4	15.3	15.4	10.4	11.5				
19888	nordestinus	37.8	6.9	11.4	19.7	4.0	1.8	2.7	3.7	7.5	7.6	9.5	16.6	15.5	11.0	12.3				
19884	nordestinus	37.9	7.1	11.8	18.5	4.1	2.0	2.2	3.2	7.2	8.8	11.2	16.5	15.7	10.8	12.3				
19889	nordestinus	36.9	6.8	10.3	17.4	3.9	1.9	2.3	2.9	7.5	8.1	8.9	14.7	14.3	9.2	11.1				
19907	nordestinus	34.0	7.4	10.9	14.5	4.9	2.3	2.8	3.5	7.0	8.4	9.7	14.0	14.3	10.2	11.9				
19887	nordestinus	39.5	8.7	12.0	19.6	4.3	2.1	3.1	3.8	7.5	9.1	10.0	16.4	15.6	11.1	12.6				
19894	nordestinus	36.7	8.0	11.4	18.2	4.3	1.9	2.4	3.6	6.7	8.6	9.6	15.4	14.8	9.9	12.1				
19892	nordestinus	35.2	7.4	11.5	18.1	4.9	2.3	2.6	3.5	7.4	9.3	9.3	15.7	15.3	10.8	11.5				
19890	nordestinus	38.4	8.6	12.1	19.5	4.3	2.0	3.0	3.4	8.1	8.5	9.2	16.3	15.4	10.1	12.0				
19882	nordestinus	38.8	8.5	12.4	19.8	4.9	2.1	2.8	3.9	8.1	8.0	10.3	15.9	15.7	10.4	12.1				
19911	nordestinus	35.8	8.3	11.5	18.0	4.7	1.7	2.4	3.5	7.3	8.1	9.4	15.4	14.4	9.6	11.3				
19883	nordestinus	35.7	7.5	11.5	18.7	3.8	2.1	2.9	3.5	7.3	8.0	10.3	15.0	14.7	9.8	10.5				
19885	nordestinus	36.5	8.0	11.7	16.7	4.4	1.7	2.4	3.2	7.3	7.5	9.2	15.0	15.7	9.8	11.4				
19900	nordestinus	37.1	7.7	11.4	17.0	4.2	2.1	2.4	3.9	7.4	9.2	9.9	15.6	14.9	9.5	12.9				
19895	nordestinus	34.4	7.3	10.6	17.2	3.4	1.4	2.5	3.2	7.7	7.9	9.5	14.9	14.7	9.1	11.3				
19903	nordestinus	36.5	8.0	11.0	16.5	3.6	1.7	2.5	3.0	7.1	7.9	9.0	14.2	14.3	9.5	11.7				
19913	nordestinus	37.6	7.4	11.9	17.5	4.9	2.0	2.3	3.7	7.3	6.9	9.6	14.6	15.7	11.1	12.0				
19897	nordestinus	36.2	7.9	10.9	17.2	3.6	1.8	2.4	3.4	7.3	8.9	10.3	15.6	14.7	9.6	11.6				
19912	nordestinus	36.0	7.6	11.8	17.3	4.0	2.2	2.6	3.7	7.3	8.8	10.1	15.8	15.3	10.6	11.2				
19908	nordestinus	37.7	7.4	11.2	19.9	4.3	2.0	2.2	3.1	7.8	8.8	9.3	15.4	14.2	9.7	12.1				
MNRJ13607	nordestinus	34.3	7.2	10.7	17.2	4.4	1.5	2.4	3.5	7.0	7.6	9.2	15.0	14.7	9.8	11.3				
MNRJ13602	nordestinus	37.1	7.7	11.1	18.7	4.3	1.5	2.9	3.5	8.1	8.3	10.0	14.9	15.0	10.5	12.0				
MNRJ13603	nordestinus	35.8	7.7	10.9	17.7	4.1	1.4	2.5	3.5	7.9	8.0	8.4	15.3	15.1	9.6	10.4				
MNRJ13604	nordestinus	35.3	7.5	10.8	14.5	4.3	1.4	2.4	3.6	6.9	7.5	9.1	14.7	13.9	9.1	11.2				
